@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\zcr.v":23:4:23:8|Object clear is declared but not assigned. Either assign a value or remove the declaration.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\ste.v":48:0:48:5|Pruning unused register ste_window_7_[15:0]. Make sure that there are no unused intermediate registers.
@W: CG781 :"C:\Users\SEC29\Desktop\i2s_iot\submean2.v":29:27:29:27|Input RPReset on instance f1 is undriven; assigning to 0.  Simulation mismatch possible. Either assign the input or remove the declaration. 
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\submean2.v":24:10:24:26|Object window_init_count is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\submean2.v":24:28:24:39|Object window_count is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\submean2.v":25:8:25:8|Object i is declared but not assigned. Either assign a value or remove the declaration.
@W: CG532 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":33:0:33:6|Within an initial block, only Verilog force statements and memory $readmemh/$readmemb initialization statements are recognized, and all other content is ignored.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_0_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_1_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_2_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_3_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_4_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_5_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_6_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_7_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_8_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_9_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_10_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_11_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_12_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_13_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_14_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_15_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_16_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_17_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_18_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_19_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_20_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_21_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_22_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_23_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_24_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_25_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_26_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_27_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_28_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_29_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_30_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_31_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_32_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_33_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_34_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_35_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_36_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_37_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_38_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_39_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_40_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_41_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_42_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_43_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_44_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_45_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_46_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_47_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_48_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_49_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_50_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_51_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_52_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_53_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_54_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_55_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_56_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_57_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_58_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_59_ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Object phase_diff_LUT_60_ is declared but not assigned. Either assign a value or remove the declaration.
@W:"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":32:10:32:23|Some of the address location in the memory "phase_diff_LUT" are not assigned.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_0_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_1_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_2_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_3_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_4_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_5_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_6_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_7_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_8_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_9_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_10_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_11_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_12_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_13_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_14_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_15_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_16_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_17_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_18_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_19_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_20_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_21_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_22_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_23_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_24_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_25_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_26_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_27_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_28_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_29_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_30_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_31_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_32_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_33_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_34_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_35_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_36_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_37_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_38_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_39_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_40_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_41_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_42_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_43_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_44_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_45_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_46_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_47_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_48_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_49_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_50_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_51_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_52_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_53_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_54_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_55_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_56_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_57_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":216:0:216:5|Pruning unused register current_diff_58_[21:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":197:0:197:5|Pruning unused register left_data_storage_0_[15:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":197:0:197:5|Pruning unused register left_data_storage_1_[15:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":197:0:197:5|Pruning unused register left_data_storage_2_[15:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":197:0:197:5|Pruning unused register left_data_storage_3_[15:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":197:0:197:5|Pruning unused register left_data_storage_4_[15:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":197:0:197:5|Pruning unused register left_data_storage_5_[15:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":197:0:197:5|Pruning unused register left_data_storage_6_[15:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":197:0:197:5|Pruning unused register left_data_storage_7_[15:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":197:0:197:5|Pruning unused register left_data_storage_8_[15:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":197:0:197:5|Pruning unused register left_data_storage_9_[15:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":197:0:197:5|Pruning unused register left_data_storage_10_[15:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":197:0:197:5|Pruning unused register left_data_storage_11_[15:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":197:0:197:5|Pruning unused register left_data_storage_12_[15:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":197:0:197:5|Pruning unused register left_data_storage_13_[15:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":197:0:197:5|Pruning unused register left_data_storage_14_[15:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":197:0:197:5|Pruning unused register left_data_storage_15_[15:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":197:0:197:5|Pruning unused register left_data_storage_16_[15:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\SEC29\Desktop\i2s_iot\beamforming.v":197:0:197:5|Pruning unused register left_data_storage_17_[15:0]. Make sure that there are no unused intermediate registers.
